code_source	entity_source_pk_value	code_dataset	count_min	count_max	cd_nom	nom_cite	meta_v_taxref	sample_number_proof	digital_proof	non_digital_proof	altitude_min	altitude_max	geom_4326	geom_point	geom_local	date_min	date_max	validation_comment	observers	comment_description	meta_validation_date	meta_create_date	last_action
CEN_PACA_EXPORT	96348231	DFCP	163	163	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E6100000EBAD81AD12CC1C40A4703D0AD7D34540	0101000020E6100000EBAD81AD12CC1C40A4703D0AD7D34540	01010000206A08000000000000C0B22F410000008082015841	1996-04-13 00:00:00	1996-04-13 00:00:00		BOET Maurice	nbx imm	\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96348203	DFCP	235	235	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E6100000EBAD81AD12CC1C40A4703D0AD7D34540	0101000020E6100000EBAD81AD12CC1C40A4703D0AD7D34540	01010000206A08000000000000C0B22F410000008082015841	1996-03-15 00:00:00	1996-03-15 00:00:00		BOET Maurice		\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96348222	DFCP	4	4	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E6100000EBAD81AD12CC1C40A4703D0AD7D34540	0101000020E6100000EBAD81AD12CC1C40A4703D0AD7D34540	01010000206A08000000000000C0B22F410000008082015841	1996-04-15 00:00:00	1996-04-15 00:00:00		BOET Maurice	baguée couleur (2ad NL, 2 im H)	\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96348204	DFCP	500	500	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E6100000EBAD81AD12CC1C40A4703D0AD7D34540	0101000020E6100000EBAD81AD12CC1C40A4703D0AD7D34540	01010000206A08000000000000C0B22F410000008082015841	1996-03-19 00:00:00	1996-03-19 00:00:00		BOET Maurice		\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96348192	DFCP	80	80	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E6100000EBAD81AD12CC1C40A4703D0AD7D34540	0101000020E6100000EBAD81AD12CC1C40A4703D0AD7D34540	01010000206A08000000000000C0B22F410000008082015841	1996-01-23 00:00:00	1996-01-23 00:00:00		BOET Maurice		\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96348207	DFCP	100	100	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E6100000EBAD81AD12CC1C40A4703D0AD7D34540	0101000020E6100000EBAD81AD12CC1C40A4703D0AD7D34540	01010000206A08000000000000C0B22F410000008082015841	1995-01-24 00:00:00	1995-01-24 00:00:00		BOET Maurice		\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96348184	DFCP	3200	3200	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E6100000060DFD135CCC1C40DDB5847CD0D34540	0101000020E6100000060DFD135CCC1C40DDB5847CD0D34540	01010000206A08000000000000F0B22F41000000407D015841	1986-03-18 00:00:00	1986-03-18 00:00:00		MISIEK Pascal		\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96348190	DFCP	2	2	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E6100000060DFD135CCC1C40DDB5847CD0D34540	0101000020E6100000060DFD135CCC1C40DDB5847CD0D34540	01010000206A08000000000000F0B22F41000000407D015841	1996-01-04 00:00:00	1996-01-04 00:00:00		BOET Maurice		\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96348209	DFCP	4	4	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E6100000060DFD135CCC1C40DDB5847CD0D34540	0101000020E6100000060DFD135CCC1C40DDB5847CD0D34540	01010000206A08000000000000F0B22F41000000407D015841	1996-01-09 00:00:00	1996-01-09 00:00:00		BOET Maurice		\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96348213	DFCP	25	25	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E6100000060DFD135CCC1C40DDB5847CD0D34540	0101000020E6100000060DFD135CCC1C40DDB5847CD0D34540	01010000206A08000000000000F0B22F41000000407D015841	1996-07-19 00:00:00	1996-07-19 00:00:00		BOET Maurice	22ad3jv	\N	2020-02-12 14:04:42.735559	I
