regne,group1_inpn,group2_inpn,i_cd_ref,i_cd_nom_list,i_nom_valid,i_nb_cd_nom,f_cd_ref,f_cd_nom_list,f_nom_valid,f_nb_cd_nom,att_list,att_nb,media_nb,grappe_change,action,cas
Animalia,Arthropodes,Insectes,224043,[224043],"Eulagius filicornis (Reitter, 1887)",1,1014607,[224043],"Stereophilus filicornis (Reitter, 1887)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,226692,[226692],"Trichopoda pennipes (Fabricius, 1781)",1,1014245,[226692],"Trichopoda pictipennis Bigot, 1876",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,227433,[227433],"Otites jucunda (Robineau-Desvoidy, 1830)",1,1011235,[227433],"Otites porcus (Latreille, 1804)",1,,,1,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,228566,[228566],"Ecphylus caudatus Ruschka, 1916",1,1010385,[228566],"Sycosoter caudatus (Ruschka, 1916)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,230187,[230187],"Platylabus wienkeri (Ratzeburg, 1844)",1,230186,[230187],"Platylabus vibratorius (Thunberg, 1824)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,231376,[231376],"Cymodusa ancilla (Seyrig, 1927)",1,231378,[231376],"Cymodusa australis (Smits van Burgst, 1913)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,231970,[231970],"Dolerus truncatus Lacourt, 1988",1,52478,[231970],"Dolerus liogaster C.G. Thomson, 1871",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Arachnides,232461,[232461],"Euscorpius tergestinus (C. L. Koch, 1837)",1,1010548,[232461],"Euscorpius niciensis (C.L. Koch, 1841)",1,,,1,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,232526,[232526],"Synagapetus dubitans McLachlan, 1879",1,1016011,[232526],"Agapetus dubitans (McLachlan, 1879)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,232669,[232669],"Cryptothrix nebulicola McLachlan, 1867",1,1016015,[232669],"Drusus nebulicola (McLachlan, 1867)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,232708,[232708],"Metanoea flavipennis (Pictet, 1834)",1,1016013,[232708],"Drusus flavipennis (Pictet, 1834)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,236552,[236552],"Eoferreola manticata (Pallas, 1771)",1,1012714,[236552],"Paraferreola manticata (Pallas, 1771)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,236622,[236622],"Priocnemis schioedtei Haupt, 1927",1,1009319,[236622],"Priocnemis schiodtei Haupt, 1927",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,237607,[237607],"Campylomma annulicornis (Signoret, 1865)",1,1015495,[237607],"Campylomma annulicorne (Signoret, 1865)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,239438,[239438],"Andrena similis Smith, 1849",1,1012380,[239438],"Andrena russula Lepeletier de Saint-Fargeau, 1841",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,242519,[242519],"Baris artemisiae (Herbst, 1795)",1,793023,[242519],"Baris artemisiae (Panzer, 1794)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
